,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Android Ver
140,1547,1,4.5,-1.1184116182611632,-0.759517925698846,-0.2067710867748932,0,-0.05912229342647969,1,12,19
141,1261,29,4.3,-1.2160128525828633,-0.759517925698846,-0.20770653200332265,0,-0.05912229342647969,1,105,12
142,5450,31,4.2,-0.8710159761836992,-0.759517925698846,-0.2067710867748932,0,-0.05912229342647969,1,110,12
143,2320,29,4.6,-1.214968989114182,-0.759517925698846,-0.20780527344410132,1,0.002323186606517862,1,105,9
144,2319,29,4.0,-1.1627758156801178,-0.759517925698846,-0.20770653200332265,0,-0.05912229342647969,1,105,9
145,3488,29,4.0,0.08203137072231224,-0.759517925698846,-0.1974166344905987,0,-0.05912229342647969,1,105,7
146,2499,24,4.0,-1.1413766145721516,-0.759517925698846,-0.20729077856846512,0,-0.05912229342647969,1,79,17
147,3000,25,4.2,-0.41223798169827525,-0.759517925698846,-0.20261355242631787,0,-0.05912229342647969,1,80,3
148,2999,29,4.3,-0.10012280456257164,-0.759517925698846,-0.20261355242631787,0,-0.05912229342647969,1,105,3
149,8166,13,4.6,-1.0495166293281986,-0.759517925698846,-0.20770653200332265,0,-0.05912229342647969,1,59,9
150,3560,29,4.2,-0.21077233224278763,-0.759517925698846,-0.1974166344905987,0,-0.05912229342647969,1,105,25
151,1523,8,4.3,-0.08655257946971497,-0.7552805877331381,-0.1974166344905987,0,-0.05912229342647969,1,37,7
152,1515,8,4.3,0.16971590209154003,-0.7552805877331381,-0.1974166344905987,0,-0.05912229342647969,1,37,7
153,6653,8,3.9,-0.8240421200930415,-0.7552805877331381,-0.2067710867748932,0,-0.05912229342647969,1,37,11
154,1824,18,3.9,0.09664545928385021,-0.7552805877331381,-0.15584129100484534,0,-0.05912229342647969,1,65,7
155,2955,20,4.5,-1.1539029761963269,-0.7552805877331381,-0.20770653200332265,1,0.6850507425287129,1,69,20
156,2955,20,4.5,-1.1539029761963269,-0.7552805877331381,-0.20770653200332265,1,0.6850507425287129,1,69,20
157,1686,29,4.4,1.034556785893983,-0.7552805877331381,-0.15584129100484534,0,-0.05912229342647969,1,105,7
158,8160,29,4.0,-0.9247749448207853,-0.7552805877331381,-0.2067710867748932,0,-0.05912229342647969,1,105,7
159,7709,29,4.4,1.2662944759412278,-0.7552805877331381,-0.10387211164765366,0,-0.05912229342647969,1,105,25
160,1515,11,4.3,0.16919397035719938,-0.7552805877331381,-0.1974166344905987,0,-0.05912229342647969,1,37,7
161,3911,11,4.7,-0.6956469134452437,-0.7552805877331381,-0.20775850118267986,0,-0.05912229342647969,1,50,19
162,6619,11,1.8,-0.5380235296743698,-0.7552805877331381,-0.20261355242631787,0,-0.05912229342647969,1,50,6
163,3011,25,1.9,-1.2248856920666542,-0.7552805877331381,-0.20775850118267986,0,-0.05912229342647969,1,80,9
164,4353,18,3.8,-0.5114050112229972,-0.7552805877331381,-0.2067710867748932,1,24.766713624147958,1,65,14
165,4348,18,4.2,-1.1878285389284686,-0.7552805877331381,-0.2078000765261656,1,2.298770420162992,1,65,14
166,4652,29,3.4,-0.6309273783870041,-0.7552805877331381,-0.1974166344905987,0,-0.05912229342647969,1,105,8
167,5614,20,4.3,-0.3349920850158603,-0.7552805877331381,-0.20261355242631787,0,-0.05912229342647969,1,69,5
168,3575,15,2.6,-1.143464341509514,-0.7552805877331381,-0.20729077856846512,0,-0.05912229342647969,1,60,12
169,4622,11,4.4,-0.9811435721295745,-0.7552805877331381,-0.2067710867748932,0,-0.05912229342647969,1,37,7
170,917,24,3.5,-1.230626941144401,-0.7552805877331381,-0.20770653200332265,0,-0.05912229342647969,1,79,7
171,1336,24,2.9,-1.0923150315441312,-0.7552805877331381,-0.20729077856846512,0,-0.05912229342647969,1,79,12
172,1057,14,4.7,-0.9581785758185863,-0.7552805877331381,-0.20770653200332265,0,-0.05912229342647969,1,14,14
173,1606,10,3.8,-1.2269734190040167,-0.7552805877331381,-0.20775850118267986,0,-0.05912229342647969,1,57,12
174,4373,25,4.2,-0.7588006533004612,-0.7552805877331381,-0.2067710867748932,0,-0.05912229342647969,1,80,7
175,1686,29,4.4,1.0340348541596425,-0.7552805877331381,-0.15584129100484534,0,-0.05912229342647969,1,105,7
176,8026,26,4.5,-1.1460740001812173,-0.7552805877331381,-0.20770653200332265,0,-0.05912229342647969,1,93,14
177,2515,11,4.3,-0.8986783581037532,-0.7552805877331381,-0.2067710867748932,0,-0.05912229342647969,1,37,19
178,3134,29,3.4,-1.2269734190040167,-0.7552805877331381,-0.20770653200332265,0,-0.05912229342647969,1,105,12
